Id  country  name  lat  lng
337  PL  Lubochnia  51.60794  20.05391
338  PL  Lubomierz  49.60854  20.20214
339  PL  Lubomino  54.06684  20.23956
340  PL  \u0141askarzew  51.78993  21.59122
341  PL  Lubycza Kr\u00F3lewska  50.34102  23.51941
342  PL  \u0141uk\u00F3w  51.929  22.37956
343  PL  \u0141ukowa  50.093  20.97548
344  PL  \u0141ukowa  50.37426  22.94349
345  PL  \u0141ukowica  49.6111  20.48289
346  PL  Lipsko  51.15954  21.64933
347  PL  Lipsk  53.73312  23.40225
348  PL  Lipowiec Ko\u015Bcielny  53.10459  20.17639
349  PL  Lipinki  49.67296  21.29288
350  PL  Ludwin  51.34605  22.90581
351  PL  G\u0142uch\u00F3w  50.08171  22.27135
352  PL  G\u0142og\u00F3w Ma\u0142opolski  50.15122  21.96287
353  PL  Glinojeck  52.81983  20.29198
354  PL  Tarnawatka  50.53154  23.3959
355  PL  Tarnobrzeg  50.57304  21.67937
356  PL  Tarnogr\u00F3d  50.3609  22.74174
357  PL  Tarn\u00F3w  50.01381  20.98698
358  PL  Tarnowiec  49.73108  21.57663
359  PL  Tarnowiec  49.98164  20.98655
360  PL  Szyd\u0142\u00F3w  50.59114  21.0068
361  PL  Czerwin  52.94905  21.75842
362  PL  Tar\u0142\u00F3w  51.0016  21.71474
363  PL  Olecko  54.03374  22.50704
364  PL  Jan\u00F3w  53.46747  23.23052
365  PL  Janowice  49.89154  20.86081
366  PL  Janowiec  51.32359  21.8894
367  PL  Jan\u00F3w Lubelski  50.70695  22.41039
368  PL  Jan\u00F3w Podlaski  52.19398  23.21218
369  PL  Jarcz\u00F3w  50.42438  23.58576
370  PL  Jarocin  50.56459  22.32121
371  PL  Jaros\u0142aw  50.01623  22.67776
372  PL  Okocim  49.9489  20.6016
373  PL  Jasie\u0144  49.96988  20.5719
374  PL  Targowisko  49.98473  20.29346
375  PL  Tarczyn  51.98197  20.83394
376  PL  Szaflary  49.42655  20.02713
377  PL  Szar\u00F3w  49.99505  20.2696
378  PL  Szastarka  50.85527  22.31971
379  PL  \u017Begocina  49.81395  20.41964
380  PL  Nisko  50.51987  22.13968
381  PL  Niepor\u0119t  52.43152  21.03212
382  PL  Mszczon\u00F3w  51.97415  20.52083
383  PL  Muszyna  49.35661  20.89718
384  PL  Mysiad\u0142o  52.10216  21.01856
385  PL  Myszyniec  53.38055  21.34961
386  PL  Nadarzyn  52.09438  20.80776
387  PL  Nag\u0142owice  50.67835  20.10661
388  PL  Niwiska  50.22492  21.63036
389  PL  Na\u0142\u0119cz\u00F3w  51.28581  22.21539
390  PL  Narol  50.34925  23.32679
391  PL  Naruszewo  52.52687  20.35157
392  PL  Nasielsk  52.58887  20.80553
393  PL  Nawojowa  49.56686  20.73927
